"sub","date_p1","Age","Genre","Langue[1]","Langue[2]","Langue[3]","lateralite[1]","lateralite[2]","lateralite[3]","niveauetudes[1]","niveauetudes[2]","niveauetudes[3]","niveauetudes[4]","UPPS[1]","UPPS[2]","UPPS[3]","UPPS[4]","UPPS[5]","UPPS[6]","UPPS[7]","UPPS[8]","UPPS[9]","UPPS[10]","UPPS[11]","UPPS[12]","UPPS[13]","UPPS[14]","UPPS[15]","UPPS[16]","UPPS[17]","UPPS[18]","UPPS[19]","UPPS[20]","UPPS[21]","UPPS[22]","UPPS[23]","UPPS[24]","UPPS[25]","UPPS[26]","UPPS[27]","UPPS[28]","UPPS[29]","UPPS[30]","UPPS[31]","UPPS[32]","UPPS[33]","UPPS[34]","UPPS[35]","UPPS[36]","UPPS[37]","UPPS[38]","UPPS[39]","UPPS[40]","UPPS[41]","UPPS[42]","UPPS[43]","UPPS[44]","UPPS[45]","QABB[1]","QABB[2]","QABB[3]","QABB[4]","QABB[5]","QABB[6]","QABB[7]","QABB[8]","QABB[9]","QABB[10]","QABB[11]","QABB[12]","QABB[13]","QABB[14]","QABB[15]","QABB[16]","QABB[17]","QABB[18]","QABB[19]","PMPUQSV[1]","PMPUQSV[2]","PMPUQSV[3]","PMPUQSV[4]","PMPUQSV[5]","PMPUQSV[6]","PMPUQSV[7]","PMPUQSV[8]","PMPUQSV[9]","PMPUQSV[10]","PMPUQSV[11]","PMPUQSV[12]","PMPUQSV[13]","PMPUQSV[14]","PMPUQSV[15]","PCLS[1]","PCLS[2]","PCLS[3]","PCLS[4]","PCLS[5]","PCLS[6]","PCLS[7]","PCLS[8]","PCLS[9]","PCLS[10]","PCLS[11]","PCLS[12]","PCLS[13]","PCLS[14]","PCLS[15]","PCLS[16]","PCLS[17]","OCIR[1]","OCIR[2]","OCIR[3]","OCIR[4]","OCIR[5]","OCIR[6]","OCIR[7]","OCIR[8]","OCIR[9]","OCIR[10]","OCIR[11]","OCIR[12]","OCIR[13]","OCIR[14]","OCIR[15]","OCIR[16]","OCIR[17]","OCIR[18]","IAT[1]","IAT[2]","IAT[3]","IAT[4]","IAT[5]","IAT[6]","IAT[7]","IAT[8]","IAT[9]","IAT[10]","IAT[11]","IAT[12]","IAT[13]","IAT[14]","IAT[15]","IAT[16]","IAT[17]","IAT[18]","IAT[19]","IAT[20]","EAT26[1]","EAT26[2]","EAT26[3]","EAT26[4]","EAT26[5]","EAT26[6]","EAT26[7]","EAT26[8]","EAT26[9]","EAT26[10]","EAT26[11]","EAT26[12]","EAT26[13]","EAT26[14]","EAT26[15]","EAT26[16]","EAT26[17]","EAT26[18]","EAT26[19]","EAT26[20]","EAT26[21]","EAT26[22]","EAT26[23]","EAT26[24]","EAT26[25]","EAT26[26]","COHS[1]","COHS[2]","COHS[3]","COHS[4]","COHS[5]","COHS[6]","COHS[7]","COHS[8]","COHS[9]","COHS[10]","COHS[11]","COHS[12]","COHS[13]","COHS[14]","COHS[15]","COHS[16]","COHS[17]","COHS[18]","COHS[19]","COHS[20]","COHS[21]","COHS[22]","COHS[23]","COHS[24]","COHS[25]","COHS[26]","COHS[27]","Time_1","groupTime1902","groupTime1904","groupTime1915","UPPSTime","groupTime1916","QABBTime","groupTime1917","PMPUQSVTime","groupTime1918","PCLSTime","groupTime1919","OCIRTime","groupTime1920","IATTime","groupTime1921","EAT26Time","groupTime1922","COHSTime","date_p2","STAIT[1]","STAIT[2]","STAIT[3]","STAIT[4]","STAIT[5]","STAIT[6]","STAIT[7]","STAIT[8]","STAIT[9]","STAIT[10]","STAIT[11]","STAIT[12]","STAIT[13]","STAIT[14]","STAIT[15]","STAIT[16]","STAIT[17]","STAIT[18]","STAIT[19]","STAIT[20]","STAIS[1]","STAIS[2]","STAIS[3]","STAIS[4]","STAIS[5]","STAIS[6]","STAIS[7]","STAIS[8]","STAIS[9]","STAIS[10]","STAIS[11]","STAIS[12]","STAIS[13]","STAIS[14]","STAIS[15]","STAIS[16]","STAIS[17]","STAIS[18]","STAIS[19]","STAIS[20]","srhi1[1]","srhi1[2]","srhi1[3]","srhi1[4]","srhi1[5]","srhi1[6]","srhi1[7]","srhi1[8]","srhi1[9]","srhi1[10]","srhi1[11]","srhi1[12]","srhi2[1]","srhi2[2]","srhi2[3]","srhi2[4]","srhi2[5]","srhi2[6]","srhi2[7]","srhi2[8]","srhi2[9]","srhi2[10]","srhi2[11]","srhi2[12]","srhhii3[1]","srhhii3[2]","srhhii3[3]","srhhii3[4]","srhhii3[5]","srhhii3[6]","srhhii3[7]","srhhii3[8]","srhhii3[9]","srhhii3[10]","srhhii3[11]","srhhii3[12]","srhii4[1]","srhii4[2]","srhii4[3]","srhii4[4]","srhii4[5]","srhii4[6]","srhii4[7]","srhii4[8]","srhii4[9]","srhii4[10]","srhii4[11]","srhii4[12]","srbai1[1]","srbai1[2]","srbai1[3]","srbai1[4]","srbai2[1]","srbai2[2]","srbai2[3]","srbai2[4]","srbai3[1]","srbai3[2]","srbai3[3]","srbai3[4]","srbai4[1]","srbai4[2]","srbai4[3]","srbai4[4]","srbai5[1]","srbai5[2]","srbai5[3]","srbai5[4]","srbai6[1]","srbai6[2]","srbai6[3]","srbai6[4]","srbai7[1]","srbai7[2]","srbai7[3]","srbai7[4]","srbai8[1]","srbai8[2]","srbai8[3]","srbai8[4]","srbai9[1]","srbai9[2]","srbai9[3]","srbai9[4]","srbai10[1]","srbai10[2]","srbai10[3]","srbai10[4]","srbai11[1]","srbai11[2]","srbai11[3]","srbai11[4]","NQH1[1]","NQH1[2]","NQH1[3]","NQH1[4]","NQH1[5]","NQH1[6]","NQH1[7]","NQH1[8]","NQH2[1]","NQH2[2]","NQH2[3]","NQH2[4]","NQH2[5]","NQH2[6]","NQH2[7]","NQH2[8]","NQH3[1]","NQH3[2]","NQH3[3]","NQH3[4]","NQH3[5]","NQH3[6]","NQH3[7]","NQH3[8]","NQH4[1]","NQH4[2]","NQH4[3]","NQH4[4]","NQH4[5]","NQH4[6]","NQH4[7]","NQH4[8]","NQH5[1]","NQH5[2]","NQH5[3]","NQH5[4]","NQH5[5]","NQH5[6]","NQH5[7]","NQH5[8]","NQH6[1]","NQH6[2]","NQH6[3]","NQH6[4]","NQH6[5]","NQH6[6]","NQH6[7]","NQH6[8]","NQH7[1]","NQH7[2]","NQH7[3]","NQH7[4]","NQH7[5]","NQH7[6]","NQH7[7]","NQH7[8]","NQH8[1]","NQH8[2]","NQH8[3]","NQH8[4]","NQH8[5]","NQH8[6]","NQH8[7]","NQH8[8]","NQH9[1]","NQH9[2]","NQH9[3]","NQH9[4]","NQH9[5]","NQH9[6]","NQH9[7]","NQH9[8]","NQH10[1]","NQH10[2]","NQH10[3]","NQH10[4]","NQH10[5]","NQH10[6]","NQH10[7]","NQH10[8]","NQH11[1]","NQH11[2]","NQH11[3]","NQH11[4]","NQH11[5]","NQH11[6]","NQH11[7]","NQH11[8]","NQH12[1]","NQH12[2]","NQH12[3]","NQH12[4]","NQH12[5]","NQH12[6]","NQH12[7]","NQH12[8]","NQH13[1]","NQH13[2]","NQH13[3]","NQH13[4]","NQH13[5]","NQH13[6]","NQH13[7]","NQH13[8]","NQH14[1]","NQH14[2]","NQH14[3]","NQH14[4]","NQH14[5]","NQH14[6]","NQH14[7]","NQH14[8]","NQH15[1]","NQH15[2]","NQH15[3]","NQH15[4]","NQH15[5]","NQH15[6]","NQH15[7]","NQH15[8]","NQH16[1]","NQH16[2]","NQH16[3]","NQH16[4]","NQH16[5]","NQH16[6]","NQH16[7]","NQH16[8]","NQH17[1]","NQH17[2]","NQH17[3]","NQH17[4]","NQH17[5]","NQH17[6]","NQH17[7]","NQH17[8]","NQH18[1]","NQH18[2]","NQH18[3]","NQH18[4]","NQH18[5]","NQH18[6]","NQH18[7]","NQH18[8]","PSS[1]","PSS[2]","PSS[3]","PSS[4]","PSS[5]","PSS[6]","PSS[7]","PSS[8]","PSS[9]","PSS[10]","EHS[1]","EHS[2]","EHS[3]","EHS[4]","EHS[5]","EHS[6]","EHS[7]","EHS[8]","EHS[9]","CESD[1]","CESD[2]","CESD[3]","CESD[4]","CESD[5]","CESD[6]","CESD[7]","CESD[8]","CESD[9]","CESD[10]","CESD[11]","CESD[12]","CESD[13]","CESD[14]","CESD[15]","CESD[16]","CESD[17]","CESD[18]","CESD[19]","CESD[20]","bfcs[1]","bfcs[2]","bfcs[3]","bfcs[4]","bfcs[5]","bfcs[6]","bfcs[7]","bfcs[8]","bfcs[9]","bfcs[10]","bfcs[11]","bfcs[12]","bfcs[13]","bfcs[14]","bfcs[15]","bfcs[16]","bfcs[17]","bfcs[18]","bfcs[19]","bfcs[20]","bfcs[21]","bfcs[22]","bfcs[23]","bfcs[24]","Time_2","groupTime1906","groupTime1905","groupTime1907","STAITTime","STAISTime","groupTime1908","srhi1Time","srhi2Time","srhhii3Time","srhii4Time","groupTime1909","srbai1Time","srbai2Time","srbai3Time","srbai4Time","srbai5Time","srbai6Time","srbai7Time","srbai8Time","srbai9Time","srbai10Time","srbai11Time","groupTime1911","NQH1Time","NQH2Time","NQH3Time","NQH4Time","NQH5Time","NQH6Time","NQH7Time","NQH8Time","NQH9Time","verificationTime","NQH10Time","NQH11Time","NQH12Time","NQH13Time","NQH14Time","NQH15Time","NQH16Time","NQH17Time","NQH18Time","groupTime1910","PSSTime","groupTime1912","EHSTime","groupTime1913","CESDTime","groupTime1914","bfcs1Time","bfcs2Time","bfcs3Time","bfcs4Time","bfcs5Time","bfcs6Time","bfcs7Time","bfcs8Time","bfcs9Time","bfcs10Time","bfcs11Time","bfcs12Time","bfcs13Time","bfcs14Time","bfcs15Time","bfcs16Time","bfcs17Time","bfcs18Time","bfcs19Time","bfcs20Time","bfcs21Time","bfcs22Time","bfcs23Time","bfcs24Time","UPPS_urgency","UPPS_premeditation","UPPS_perseverance","UPPS_sensation","QABB_total","PMPUQSV_total","PMPUQSV_dangerous","PMPUQSV_prohibited","PMPUQSV_dependant","PCLS_total","PCLS_intrusion","PCLS_evitement","PCLS_hyperstimulation","EAT26_total","EAT26_dieting","EAT26_bulimia","EAT26_oral_control","IAT_total","IAT_salience","IAT_excessive_use","IAT_neglect_work","IAT_anticipation","IAT_lack_control","IAT_neglect_social_life","OCIR_total","OCIR_Washing","OCIR_obsessing","OCIR_hoarding","OCIR_ordering","OCIR_checking","OCIR_neutralising","STAIT_total","STAIS_total","PSS_total","COHS_routine","COHS_automaticity","srhi_velo_score","srhi_bus_score","srhi_sucreries_score","srhi_musique_score","srbai_fruits_score","srbai_velo_score","srbai_exercice_score","srbai_quantite_gras_score","srbai_velo_transport_score","srbai_alcool_score","srbai_activite_physique_temps_libre_score","srbai_voiture_uni_score","srbai_velo_uni_score","srbai_snack_haut_calories_score","srbai_alcool_tous_les_soirs_score","EHS_total","EHS_location","EHS_people","EHS_constancy","EHS_time","CESD_total","bfcs_alcool_mood","bfcs_alcool_time","bfcs_alcool_location","bfcs_alcool_people","bfcs_snacks_mood","bfcs_snacks_time","bfcs_snacks_location","bfcs_snacks_people","bfcs_public_transports_mood","bfcs_public_transports_time","bfcs_public_transports_location","bfcs_public_transports_people","bfcs_second_drink_mood","bfcs_second_drink_time","bfcs_second_drink_location","bfcs_second_drink_people"
2,"17.04.20",23,"F","Oui","Non","Non","Non","Oui","Non","Non","Oui","Non","Non",2,4,3,1,1,3,4,3,1,3,3,1,1,3,4,2,2,4,4,1,4,1,2,3,3,1,2,4,3,1,1,3,3,1,2,4,4,4,2,1,4,3,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,2,2,NA,2,1,3,1,2,NA,1,1,NA,2,3,2,1,4,1,5,2,1,1,3,1,1,3,1,1,1,1,2,2,0,0,1,3,2,0,0,0,1,3,2,0,0,0,1,2,4,1,0,0,1,1,0,1,1,3,3,2,0,0,0,3,2,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,4,5,1,5,1,4,5,2,1,4,1,2,2,4,4,1,5,3,1,5,2,3,1,5,1,1,3,1020.59,29.19,51.03,208.15,NA,82.54,NA,96.98,NA,77.79,NA,73.73,NA,125.64,NA,131.98,NA,143.56,NA,"17.04.20",2,1,2,2,1,3,2,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1,1,2,2,1,2,2,7,7,7,7,7,7,7,7,4,7,7,7,2,1,4,4,3,1,1,1,6,1,1,1,6,7,7,7,7,7,7,7,3,7,7,6,3,4,5,6,7,3,7,6,3,7,7,4,5,6,7,7,3,3,2,4,3,6,3,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,4,5,1,1,1,4,5,5,1,5,2,4,1,1,1,5,1,5,1,1,1,1,5,5,3,5,1,1,2,4,5,5,4,5,3,2,3,5,5,5,2,5,2,3,1,3,5,5,2,4,2,1,3,5,2,5,3,1,1,1,1,5,4,5,2,4,1,1,2,3,2,5,1,1,3,4,3,2,5,2,4,4,5,5,5,5,3,5,3,1,2,4,4,2,5,5,1,3,2,3,1,3,5,5,3,2,2,1,1,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,3,1,3,2,4,3,5,5,2,1,1,2,4,3,5,5,5,3,4,5,5,5,5,5,3,2,3,2,2,3,2,2,3,3,4,3,4,4,4,1,0,3,3,1,0,2,1,0,2,1,1,0,0,0,1,0,2,0,0,1,2,1,1,1,0,3,2,3,2,2,2,2,3,4,4,4,5,2,3,3,2,1,0,NA,NA,NA,NA,1457.64,31.09,10.23,130.89,NA,NA,205.42,NA,NA,NA,NA,118.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,646.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.81,NA,46.42,NA,74.51,NA,125.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,17,16,41,1,1.63636363636364,3,1.6,1.4,32,11,14,7,6,4,0,2,25,5,8,3,3,6,0,19,3,8,6,0,2,0,33,29,25,63,13,6.75,2.16666666666667,6.5,5.16666666666667,6.25,3,4.75,6.5,7,7,7,6,7,7,7,2.88888888888889,4,2,2.5,3.5,16,3,2,3,2,4,6,8,8,8,12,12,8,NA,NA,NA,NA
3,"23.03.20",20,"F","Oui","Non","Non","Non","Oui","Non","Non","Oui","Non","Non",1,3,4,2,2,4,3,4,1,3,4,2,2,4,4,2,2,3,4,1,4,2,1,3,3,2,2,4,4,1,1,3,4,1,2,3,3,4,2,2,3,3,1,4,3,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,2,NA,2,2,NA,4,1,1,2,2,NA,1,1,NA,1,3,5,1,3,3,4,2,1,2,4,1,2,1,2,5,1,3,3,2,1,0,1,4,4,2,1,0,0,3,4,0,0,0,1,2,3,3,1,1,1,1,5,2,2,2,2,2,1,4,1,5,4,1,2,1,2,0,3,2,0,0,0,0,3,2,3,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,4,4,5,2,4,4,5,5,5,5,5,2,4,4,2,5,4,5,4,5,1,1,4,1,4,5,1,1641.56,185.49,102.98,322.59,NA,85.78,NA,96.62,NA,155.1,NA,84.87,NA,136.72,NA,190.64,NA,280.77,NA,"24.03.20",3,2,3,3,4,4,3,4,4,3,2,4,3,4,3,3,4,4,3,4,3,2,4,4,4,4,4,3,3,3,3,4,3,1,3,3,3,4,4,4,5,5,6,6,6,3,7,7,6,7,7,7,1,1,2,2,1,1,1,1,3,4,1,1,1,1,1,6,2,3,4,2,3,4,2,2,1,1,1,1,1,1,1,1,1,2,2,1,5,5,5,5,6,6,6,6,5,6,6,5,3,4,3,4,7,5,5,7,3,5,3,3,3,3,3,3,2,2,1,1,6,6,5,6,6,6,6,6,6,6,6,6,5,5,1,1,3,4,4,5,2,2,2,3,2,3,4,4,1,2,1,2,4,5,1,4,1,1,2,2,5,3,5,5,5,5,5,5,5,5,5,5,1,3,1,3,1,1,2,3,4,4,1,4,5,3,5,5,5,2,2,5,5,5,5,5,3,3,3,4,2,5,5,5,2,2,3,4,5,2,5,5,2,2,4,4,5,2,5,5,2,2,1,3,5,1,5,5,5,2,3,3,5,2,5,5,1,1,2,3,5,2,4,5,5,5,5,5,5,5,5,5,4,2,3,3,5,3,5,3,3,4,4,4,5,3,3,3,4,5,3,5,5,2,2,3,4,5,5,4,3,5,4,3,4,4,3,4,4,3,2,2,1,3,2,1,0,3,2,2,3,3,2,3,1,2,2,1,3,0,2,3,3,3,1,2,0,3,3,3,3,4,7,3,2,3,1,4,7,2,4,3,2,2,0,3,3,3,3,1534.48,15.39,17.03,136.79,NA,NA,149.08,NA,NA,NA,NA,196.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,590.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.79,NA,61.18,NA,165.06,NA,144.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,18,21,44,8,1.72727272727273,1,2,1.6,43,15,16,12,20,9,8,0,44,8,12,5,7,10,2,28,2,9,11,2,4,0,67,66,41,53,47,6,1.58333333333333,2.58333333333333,1.16666666666667,5,6,5.5,3.5,6,3.5,3,1.5,5.75,6,6,2.66666666666667,3,2.66666666666667,2,3,40,6,6,6,6,12,8,12,4,8,16,12,8,6,6,6,6
4,"12.04.20",20,"F","Oui","Non","Non","Non","Oui","Non","Non","Oui","Non","Non",1,4,3,2,2,4,3,3,1,3,4,2,1,3,3,2,2,3,3,2,3,2,2,3,3,2,2,3,3,2,1,4,3,2,1,3,4,3,1,1,3,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,2,4,4,2,1,4,1,1,3,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,5,4,1,1,2,3,4,3,1,1,2,1,1,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,2,4,2,5,5,5,4,4,2,4,2,4,4,3,1,4,1,5,1,3,3,1,3,2,4,1459.84,35.38,122.17,302.76,NA,114.62,NA,129.5,NA,143.46,NA,96.04,NA,183.87,NA,129.97,NA,202.07,NA,"12.04.20",2,2,2,4,2,2,2,2,3,2,3,4,2,4,2,3,3,3,3,3,1,2,1,2,2,1,2,2,2,2,3,2,2,2,3,2,3,1,2,2,7,7,7,7,7,7,7,7,7,7,7,7,1,2,3,2,2,1,1,2,2,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,1,2,1,2,1,1,1,1,1,1,1,1,2,3,4,4,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,3,4,4,4,2,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,1,2,1,5,5,5,4,5,5,5,1,5,5,5,1,2,1,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,1,4,4,5,1,2,5,5,5,1,5,5,5,5,5,5,5,5,5,5,3,4,5,2,5,5,5,5,3,5,5,2,5,5,5,5,2,2,4,3,3,5,5,5,3,4,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,2,4,5,5,5,5,5,5,5,5,5,5,5,5,1,2,4,5,3,5,5,5,3,3,4,5,4,5,5,5,4,3,5,5,5,5,5,5,3,4,5,3,3,4,1,3,2,3,1,0,2,3,1,2,2,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,3,4,2,3,3,3,4,4,3,3,4,0,3,4,4,3,NA,0,NA,NA,NA,NA,1805.03,23.36,10.97,186.98,NA,NA,161.18,NA,NA,NA,NA,139.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.73,NA,126.72,NA,80.33,NA,363.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,15,22,38,0,2.26666666666667,1.4,1.8,3.6,20,7,8,5,3,0,0,3,40,6,13,7,6,6,2,3,0,3,0,0,0,0,53,39,31,58,28,7,1.58333333333333,7,1.16666666666667,3.25,7,6.75,7,7,3.75,2.75,7,7,7,7,1.44444444444444,2,1,1.5,1.5,9,3,4,2,3,12,12,9,9,12,16,16,12,NA,NA,NA,NA
5,"27.03.20",25,"M","Oui","Non","Non","Oui","Non","Non","Non","Non","Non","Oui",1,3,3,1,2,3,4,3,1,4,3,1,2,4,3,2,2,4,3,2,3,2,2,4,3,2,2,3,3,2,1,4,3,2,2,4,4,3,2,2,3,3,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,2,1,4,3,3,3,3,2,2,2,1,2,1,1,1,1,1,1,1,1,1,3,3,1,2,3,3,1,2,0,0,2,0,0,2,1,0,2,0,1,2,2,1,1,0,0,2,5,4,0,1,3,3,4,4,2,4,4,3,1,2,3,3,4,3,3,4,1,0,1,1,0,1,0,0,0,1,1,0,1,0,2,0,0,0,1,0,0,1,1,0,0,0,2,4,2,4,2,4,2,4,4,2,2,2,5,2,4,1,2,5,2,2,3,2,5,2,4,4,5,1438.59,77.57,46.04,331.53,NA,103.13,NA,187.08,NA,69.95,NA,98.83,NA,180.87,NA,146.58,NA,197.01,NA,"29.03.20",2,2,3,2,3,3,2,1,2,3,2,3,2,3,2,3,2,3,2,2,1,1,1,1,2,1,1,2,1,2,2,1,1,2,1,2,1,1,1,2,7,7,7,7,7,7,7,7,7,7,7,7,1,1,2,3,3,2,1,3,3,3,3,3,5,6,6,6,6,6,6,5,6,6,6,6,5,5,5,6,6,6,7,6,7,7,6,6,6,6,6,6,7,7,7,7,3,3,3,4,7,6,7,6,7,7,7,7,3,4,3,4,7,7,7,7,6,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,3,3,2,3,3,4,4,4,5,5,5,5,5,5,5,5,1,2,1,2,1,3,2,3,4,4,2,4,4,4,5,5,2,3,1,2,2,4,2,4,1,4,3,4,2,2,2,4,2,2,3,3,4,2,4,5,4,3,4,3,4,5,4,4,4,4,5,5,4,5,4,5,1,2,4,4,3,2,3,2,2,2,3,3,3,2,3,4,2,2,3,2,3,2,4,3,4,4,3,3,4,3,4,4,2,2,2,3,2,3,4,2,2,2,2,2,2,2,3,4,2,3,2,4,4,3,3,4,2,4,5,4,4,2,3,4,2,3,3,4,4,4,2,3,2,3,3,4,4,4,1,3,4,2,4,3,3,3,3,3,3,3,3,1,0,2,1,2,1,2,2,2,1,1,1,1,1,0,2,0,2,2,2,1,0,NA,NA,NA,NA,3,3,2,2,3,2,4,0,3,3,3,1,NA,0,NA,NA,NA,NA,2310.65,26.94,48.9,346.34,NA,NA,149.99,NA,NA,NA,NA,166.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492.41,NA,44.6,NA,102.29,NA,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,19,20,38,3,2.26666666666667,1.8,2.4,2.6,27,5,11,11,12,6,2,2,60,14,18,9,8,10,1,16,1,6,3,5,1,0,47,27,30,49,33,7,2.33333333333333,5.83333333333333,6,6,7,3.25,6.5,7,3.5,7,5.5,7,7,7,3.11111111111111,3.5,3,3,3,26,NA,NA,NA,NA,6,6,9,6,12,12,12,4,NA,NA,NA,NA
6,"24.03.20",24,"F","Oui","Non","Non","Non","Oui","Non","Non","Oui","Non","Non",2,3,3,2,2,4,3,4,2,3,4,2,2,3,3,2,2,3,4,2,3,2,2,3,3,2,2,3,4,2,2,3,3,2,2,3,4,3,2,2,3,4,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,4,3,NA,2,2,1,1,2,NA,1,1,NA,1,2,1,1,1,1,1,2,1,3,3,2,1,2,2,2,1,2,2,1,0,0,0,2,3,0,3,0,0,2,2,0,0,0,0,0,4,1,1,1,1,2,2,2,1,3,3,2,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,2,3,2,4,3,5,2,2,2,2,3,1,4,1,3,3,2,5,3,2,1,1,2,5,4,5753.63,4394,72.69,327.64,NA,98.57,NA,103.14,NA,128.29,NA,106.62,NA,153.81,NA,160.54,NA,208.33,NA,"05.04.20",3,3,4,3,4,4,2,4,4,4,3,4,3,3,4,4,3,3,3,3,3,4,3,4,3,3,3,4,1,4,4,3,2,3,4,4,3,4,3,3,7,7,7,7,7,7,7,7,7,7,7,7,4,6,6,7,6,5,4,6,6,6,7,4,3,6,6,6,6,6,6,6,3,6,6,2,3,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,7,7,7,7,6,6,6,6,7,7,7,7,6,6,6,6,6,6,6,6,4,4,1,1,1,4,5,4,3,5,1,5,1,2,2,5,1,5,1,1,1,3,3,5,4,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,1,5,5,5,5,1,5,5,1,5,5,5,5,1,5,5,3,5,5,5,5,5,5,5,1,5,5,5,5,2,5,5,3,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,4,5,3,5,4,5,4,4,4,4,4,0,0,0,0,0,0,3,3,2,3,3,3,3,2,3,2,2,2,0,2,2,3,2,3,1,0,3,4,2,2,3,2,2,2,3,2,1,0,NA,NA,NA,NA,1,0,2,3,2,2,1466.79,36.09,20.27,203.68,NA,NA,171.14,NA,NA,NA,NA,136.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.99,NA,65.31,NA,82.65,NA,190.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,22,23,42,1,1.90909090909091,1,1.8,2.2,28,6,13,9,1,0,0,1,34,10,8,5,5,4,2,15,0,4,7,3,1,0,68,65,43,47,27,7,5.58333333333333,5.16666666666667,5.41666666666667,6,6,6,6,5.75,6,7,6,7,6,6,2.22222222222222,4,1.33333333333333,2,2,43,3,4,2,2,6,6,9,6,NA,NA,NA,NA,2,3,2,2
